# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8457794339560063,4.41682801075799,0.004234913082084318,0,5.0,0.01573737675535074,0.0,0.0,0.0
 0.061033681366288284,1.8550922095833717,4.416828699094823,0.004234913082084318,0.3051684068314414,5.0,0.01573737675535074,0.0,0.33165081353394277,0.0
 0.08640763407378449,1.8644451317681758,4.416830764105321,0.012650205140097223,0.4320381703689225,5.000000000000002,0.015538340554857399,0.0,0.4272048518882545,0.0
 0.10594017580252768,1.87383773519472,4.416834205789486,0.02099460173632611,0.5297008790126384,4.999999999999997,0.015345701001429964,0.0,0.5010013355919528,0.0
 0.1224583565233812,1.8832695545473048,4.416839024147316,0.02927023233902297,0.612291782616906,4.999999999999997,0.015159245266543811,0.0,0.5623565499597234,0.0
 0.13705574733682543,1.892740124510232,4.4168452191788115,0.03747917067528523,0.6852787366841272,5.000000000000004,0.014978770808634112,0.0,0.6152789762085403,0.0
 0.15029245219545073,1.9022489797678015,4.416852790883972,0.04562343688907481,0.7514622609772538,5.000000000000006,0.014804083022449205,0.0,0.6619730688006196,0.0
 0.1625007475645652,1.9117956550043151,4.416861739262799,0.05370499963939191,0.8125037378228261,5.000000000000003,0.01463499831885807,0.0,0.7038189768951119,0.0
 0.1738968290211735,1.9213796849040736,4.416872064315292,0.06172577803079533,0.8694841451058677,5.0,0.014471340708348775,0.0,0.7417548700932722,0.0
 0.18463065208424512,1.9310006041513776,4.41688376604145,0.06968764356254818,0.9231532604212257,4.999999999999997,0.014312938399082126,0.0,0.776456116083978,0.0
 0.19481123823584065,1.9406579474305288,4.416896844441274,0.07759242194527438,0.9740561911792034,5.000000000000003,0.014159632315385346,0.0,0.80842994804868,0.0
 0.20452076582172649,1.9503512494258277,4.416911299514764,0.08544189482710929,1.0226038291086326,5.0,0.01401126404933631,0.0,0.8380699613003215,0.0
 0.21382298043762082,1.9600800448215756,4.41692713126192,0.09323780147025915,1.0691149021881043,5.000000000000009,0.013867688717154417,0.0,0.8656895862460386,0.0
 0.22276849512729063,1.9698438683020731,4.416944339682741,0.10098184038071725,1.1138424756364533,4.999999999999994,0.013728760771630244,0.0,0.8915437192791055,0.0
 0.2313982799662703,1.9796422545516217,4.416962924777227,0.10867567085263963,1.1569913998313517,5.0000000000000036,0.013594345780469856,0.0,0.9158432910047306,0.0
 0.2397460438833549,1.989474738254522,4.41698288654538,0.11632091443099293,1.1987302194167748,5.00000000000001,0.013464311667539869,0.0,0.9387654225045379,0.0
 0.24783991027292027,1.999340854095075,4.417004224987198,0.12391915633188853,1.2391995513646017,5.000000000000011,0.013338536164007764,0.0,0.9604607158685919,0.0
 0.2557036265163261,2.0092401367575823,4.417026940102683,0.1314719468644176,1.278518132581631,5.000000000000018,0.013216895920017508,0.0,0.981058592017337,0.0
 0.263357456641861,2.019172120926344,4.417051031891832,0.13898080267091473,1.3167872832093057,5.000000000000029,0.013099278271691234,0.0,1.0006713298084413,0.0
 0.27081885298481434,2.0291363412856613,4.417076500354647,0.14644720807164568,1.3540942649240724,4.999999999999993,0.012985571449498684,0.0,1.0193971236043013,0.0
 0.2781029702190566,2.0391323325198356,4.417103345491128,0.1538726162282288,1.3905148510952836,4.999999999999985,0.012875670953449783,0.0,1.0373224842817932,0.0
 0.2852230647195465,2.049159629313168,4.417131567301275,0.1612584503437981,1.426115323597733,5.0,0.012769476238613853,0.0,1.0545241208647749,0.0
 0.2921908090320751,2.059217766349959,4.417161165785087,0.16860610478937785,1.4609540451603762,5.000000000000008,0.01266688849443583,0.0,1.071070447950104,0.0
 0.2990165425013212,2.0693062783145098,4.417192140942565,0.17591694619387127,1.4950827125066066,5.0,0.012567815936269867,0.0,1.0870228039682186,0.0
 0.3057094732059627,2.0794246998911214,4.417224492773709,0.18319231449519566,1.5285473660298143,5.000000000000033,0.012472167300922926,0.0,1.102436445695568,0.0
 0.3122778422778498,2.089572565764095,4.417258221278518,0.1904335239488236,1.56138921138925,5.000000000000009,0.012379861410937122,0.0,1.1173613746229278,0.0
 0.31872905882310065,2.099749410617731,4.417293326456994,0.19764186413581525,1.5936452941155044,5.000000000000035,0.012290812135716051,0.0,1.1318430031314206,0.0
 0.32506981162281573,2.109954769136331,4.417329808309134,0.20481860082675873,1.6253490581140797,4.999999999999991,0.012204941167193435,0.0,1.1459227593208645,0.0
 0.3313061623137934,2.120188176004196,4.417367666834941,0.21196497701865644,1.6565308115689679,4.999999999999973,0.01212217580487217,0.0,1.1596385319739648,0.0
 0.33744362366545866,2.1304491659056266,4.417406902034413,0.21908221369054848,1.6872181183272943,5.000000000000018,0.012042440383107885,0.0,1.1730251139021741,0.0
 0.343487225763641,2.1407372735249233,4.41744751390755,0.22617151073014824,1.7174361288182058,4.999999999999981,0.011965666868942368,0.0,1.1861145418385721,0.0
 0.3494415723064568,2.1510520335463887,4.417489502454354,0.23323404775172826,1.7472078615322848,5.0,0.011891790540311193,0.0,1.1989363923810175,0.0
 0.35531088875774325,2.1613929806543224,4.417532867674823,0.24027098484357623,1.776554443788717,4.99999999999999,0.011820745702021674,0.0,1.2115180653084745,0.0
 0.36109906375088,2.1717596495330262,4.4175776095689585,0.24728346341292817,1.805495318754401,5.0,0.011752472003608754,0.0,1.2238849862408485,0.0
